absolute_time_h,gross_injection_rate_m3_h,cycle_cumulative_injection_m3
1047.025000000000,37.514969892,3233.106294013
1047.049999999921,37.514552716,3234.044163042
1047.099999999921,37.513718363,3235.919869819
1047.149999999921,37.512884011,3237.795534879
1047.199999999921,37.512049658,3239.671158220
1047.249999999921,37.511215306,3241.546739844
1047.299999999921,37.510380953,3243.422279751
1047.349999999920,37.509546601,3245.297777940
1047.399999999920,37.508712248,3247.173234411
1047.449999999920,37.507877896,3249.048649165
1047.499999999920,37.507043543,3250.924022201
1047.549999999920,37.506209191,3252.799353519
1047.599999999920,37.505374839,3254.674643120
1047.649999999920,37.504540486,3256.549891003
1047.699999999920,37.503706134,3258.425097168
1047.749999999920,37.502871781,3260.300261616
1047.799999999920,37.502037429,3262.175384346
1047.849999999920,37.501203076,3264.050465359
1047.899999999920,37.500368724,3265.925504654
1047.949999999920,37.499534371,3267.800502231
1047.999999999920,37.498700019,3269.675458091
1048.025000000000,37.498282842,3270.612920380
1048.049999999920,37.497841719,3271.550371934
1048.099999999920,37.496959472,3273.425241964
1048.149999999920,37.496077225,3275.300067881
1048.199999999920,37.495194978,3277.174849686
1048.249999999920,37.494312731,3279.049587379
1048.299999999920,37.493430484,3280.924280959
1048.349999999920,37.492548237,3282.798930427
1048.399999999920,37.491665990,3284.673535783
1048.449999999920,37.490783743,3286.548097026
1048.499999999920,37.489901496,3288.422614157
1048.549999999920,37.489019249,3290.297087176
1048.599999999919,37.488137002,3292.171516082
1048.649999999919,37.487254755,3294.045900876
1048.699999999919,37.486372508,3295.920241558
1048.749999999919,37.485490261,3297.794538127
1048.799999999919,37.484608014,3299.668790584
1048.849999999919,37.483725767,3301.542998928
1048.899999999919,37.482843520,3303.417163160
1048.949999999919,37.481961273,3305.291283280
1048.999999999919,37.481079026,3307.165359288
1049.025000000000,37.480637902,3308.102380752
1049.049999999919,37.480198361,3309.039391202
1049.099999999919,37.479319280,3310.913379143
1049.149999999919,37.478440199,3312.787323130
1049.199999999919,37.477561117,3314.661223163
1049.249999999919,37.476682036,3316.535079242
1049.299999999919,37.475802954,3318.408891367
1049.349999999919,37.474923873,3320.282659538
1049.399999999919,37.474044791,3322.156383754
1049.449999999919,37.473165710,3324.030064017
1049.499999999919,37.472286628,3325.903700325
1049.549999999918,37.471407547,3327.777292680
1049.599999999918,37.470528465,3329.650841080
1049.649999999918,37.469649384,3331.524345526
1049.699999999918,37.468770303,3333.397806018
1049.749999999918,37.467891221,3335.271222556
1049.799999999918,37.467012140,3337.144595140
1049.849999999918,37.466133058,3339.017923770
1049.899999999918,37.465253977,3340.891208446
1049.949999999918,37.464374895,3342.764449168
1049.999999999918,37.463495814,3344.637645936
1050.025000000000,37.463056273,3345.574227840
1050.049999999918,37.462594609,3346.510798473
1050.099999999918,37.461671281,3348.383905120
1050.149999999918,37.460747952,3350.256965601
1050.199999999918,37.459824624,3352.129979915
1050.249999999918,37.458901296,3354.002948063
1050.299999999918,37.457977968,3355.875870045
1050.349999999918,37.457054639,3357.748745860
1050.399999999918,37.456131311,3359.621575509
1050.449999999918,37.455207983,3361.494358991
1050.499999999918,37.454284654,3363.367096307
